               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.018198,            0.010513,                   0,             0.92406,             0.88158,              0.9531,             0.73347,            0.021711,             0.01169,                   0,           0.0072872,           0.0072872,           0.0072872
                 113,            0.018898,            0.011481,                   0,             0.93004,               0.875,             0.94724,             0.71004,            0.022731,            0.011475,                   0,           0.0072438,           0.0072438,           0.0072438
                 114,            0.018362,            0.011209,                   0,             0.90599,             0.88816,             0.94657,              0.7117,             0.02268,            0.010494,                   0,           0.0072003,           0.0072003,           0.0072003
                 115,            0.017879,            0.010085,                   0,             0.87555,             0.92763,             0.94937,             0.72479,            0.022626,            0.011055,                   0,           0.0071566,           0.0071566,           0.0071566
                 116,             0.01866,            0.010697,                   0,             0.90972,             0.86182,             0.93501,             0.72765,            0.022086,            0.011804,                   0,           0.0071127,           0.0071127,           0.0071127
                 117,            0.018746,             0.01008,                   0,             0.94159,             0.84868,             0.93379,             0.71345,            0.022651,            0.012104,                   0,           0.0070686,           0.0070686,           0.0070686
                 118,            0.018521,           0.0099656,                   0,             0.94038,             0.85526,             0.95164,             0.73255,            0.022209,            0.010912,                   0,           0.0070243,           0.0070243,           0.0070243
                 119,             0.01814,            0.010808,                   0,             0.85978,             0.88816,             0.93297,             0.70888,            0.021933,            0.011976,                   0,           0.0069799,           0.0069799,           0.0069799
                 120,            0.018363,            0.011393,                   0,             0.96892,             0.82237,             0.94334,             0.71935,            0.022204,            0.011808,                   0,           0.0069353,           0.0069353,           0.0069353
                 121,            0.018159,           0.0095038,                   0,             0.94775,             0.83553,              0.9427,             0.71963,            0.022227,            0.012064,                   0,           0.0068906,           0.0068906,           0.0068906
                 122,            0.018145,            0.011299,                   0,             0.92977,               0.875,             0.95465,             0.72518,             0.02211,            0.011229,                   0,           0.0068457,           0.0068457,           0.0068457
                 123,            0.018563,            0.011498,                   0,             0.83136,             0.94055,             0.93793,             0.72427,            0.021373,            0.011915,                   0,           0.0068006,           0.0068006,           0.0068006
                 124,            0.018185,            0.011226,                   0,              0.8789,             0.91447,             0.94304,             0.72236,            0.021543,            0.010687,                   0,           0.0067555,           0.0067555,           0.0067555
                 125,             0.01787,           0.0098685,                   0,             0.95566,             0.85526,             0.95641,             0.73934,            0.021182,            0.010786,                   0,           0.0067101,           0.0067101,           0.0067101
                 126,            0.017545,            0.011547,                   0,             0.94405,             0.88812,             0.95894,             0.73494,            0.021525,           0.0099793,                   0,           0.0066647,           0.0066647,           0.0066647
                 127,            0.017728,            0.011299,                   0,             0.94477,             0.90132,             0.95534,             0.73281,            0.021434,            0.010797,                   0,           0.0066191,           0.0066191,           0.0066191
                 128,            0.017525,            0.010812,                   0,             0.90531,             0.88158,             0.93818,             0.72475,             0.02165,            0.012066,                   0,           0.0065734,           0.0065734,           0.0065734
                 129,            0.017079,            0.010155,                   0,             0.93006,             0.87489,             0.95688,             0.74516,            0.021599,            0.010543,                   0,           0.0065276,           0.0065276,           0.0065276
                 130,            0.017409,            0.011711,                   0,             0.93662,             0.87497,              0.9458,             0.72969,            0.022318,            0.010904,                   0,           0.0064816,           0.0064816,           0.0064816
                 131,            0.017827,            0.011078,                   0,             0.93617,              0.8684,             0.95074,             0.72638,             0.02238,            0.011725,                   0,           0.0064356,           0.0064356,           0.0064356
